Entity,Code,Year,Deaths - Opioid use disorders - Sex: Both - Age: All Ages (Number),Deaths - Cocaine use disorders - Sex: Both - Age: All Ages (Number),Deaths - Other drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Amphetamine use disorders - Sex: Both - Age: All Ages (Number)
Malawi,MWI,2006,16,1,5,0
Malawi,MWI,2007,17,1,6,0
Malawi,MWI,2008,17,1,6,0
Malawi,MWI,2009,18,1,6,0
Malawi,MWI,2010,19,1,6,0
Malawi,MWI,2011,20,1,6,1
Malawi,MWI,2012,21,1,7,1
Malawi,MWI,2013,21,1,7,1
Malawi,MWI,2014,22,1,7,1
Malawi,MWI,2015,23,1,7,1
Malawi,MWI,2016,24,2,8,1
Malawi,MWI,2017,25,2,8,1
Malawi,MWI,2018,27,2,8,1
Malawi,MWI,2019,28,2,9,1
Malaysia,MYS,1990,29,3,6,2
Malaysia,MYS,1991,31,3,6,2
Malaysia,MYS,1992,32,4,6,2
Malaysia,MYS,1993,34,4,6,2
Malaysia,MYS,1994,37,4,7,2
Malaysia,MYS,1995,41,5,8,3
Malaysia,MYS,1996,43,5,8,3
Malaysia,MYS,1997,45,6,9,3
Malaysia,MYS,1998,46,6,9,3
Malaysia,MYS,1999,52,7,10,4
Malaysia,MYS,2000,51,6,9,4
Malaysia,MYS,2001,50,6,9,4
Malaysia,MYS,2002,50,6,9,4
Malaysia,MYS,2003,52,7,10,4
Malaysia,MYS,2004,53,7,10,4
Malaysia,MYS,2005,53,7,10,4
Malaysia,MYS,2006,55,8,11,4
Malaysia,MYS,2007,56,8,10,4
Malaysia,MYS,2008,60,9,11,5
Malaysia,MYS,2009,64,9,11,5
Malaysia,MYS,2010,66,10,11,5
Malaysia,MYS,2011,67,10,12,6
Malaysia,MYS,2012,68,10,12,6
Malaysia,MYS,2013,67,11,13,6
Malaysia,MYS,2014,71,12,14,6
Malaysia,MYS,2015,75,12,14,7
Malaysia,MYS,2016,80,13,15,7
Malaysia,MYS,2017,84,14,16,8
Malaysia,MYS,2018,88,15,17,8
Malaysia,MYS,2019,94,16,19,9
Maldives,MDV,1990,0,0,0,0
Maldives,MDV,1991,0,0,0,0
Maldives,MDV,1992,0,0,0,0
Maldives,MDV,1993,0,0,0,0
Maldives,MDV,1994,0,0,0,0
Maldives,MDV,1995,0,0,0,0
Maldives,MDV,1996,0,0,0,0
Maldives,MDV,1997,0,0,0,0
Maldives,MDV,1998,0,0,0,0
Maldives,MDV,1999,0,0,0,0
Maldives,MDV,2000,0,0,0,0
Maldives,MDV,2001,0,0,0,0
Maldives,MDV,2002,0,0,0,0
Maldives,MDV,2003,0,0,0,0
Maldives,MDV,2004,0,0,0,0
Maldives,MDV,2005,0,0,0,0
Maldives,MDV,2006,0,0,0,0
Maldives,MDV,2007,1,0,0,0
Maldives,MDV,2008,1,0,0,0
Maldives,MDV,2009,1,0,0,0
Maldives,MDV,2010,1,0,0,0
Maldives,MDV,2011,1,0,0,0
Maldives,MDV,2012,1,0,0,0
Maldives,MDV,2013,1,0,0,0
Maldives,MDV,2014,1,0,0,0
Maldives,MDV,2015,1,0,0,0
Maldives,MDV,2016,1,0,0,0
Maldives,MDV,2017,1,0,0,0
Maldives,MDV,2018,1,0,0,0
Maldives,MDV,2019,1,0,0,0
Mali,MLI,1990,7,0,1,0
Mali,MLI,1991,7,0,1,0
Mali,MLI,1992,7,0,1,0
Mali,MLI,1993,7,0,1,0
Mali,MLI,1994,7,0,1,0
Mali,MLI,1995,7,0,1,0
Mali,MLI,1996,7,0,1,0
Mali,MLI,1997,7,0,1,0
Mali,MLI,1998,7,0,1,0
Mali,MLI,1999,7,0,1,0
Mali,MLI,2000,7,0,1,0
Mali,MLI,2001,7,0,1,0
Mali,MLI,2002,7,0,1,0
Mali,MLI,2003,7,0,1,0
Mali,MLI,2004,8,0,1,0
Mali,MLI,2005,8,0,1,0
Mali,MLI,2006,8,0,1,0
Mali,MLI,2007,9,0,1,0
Mali,MLI,2008,9,0,1,0
Mali,MLI,2009,10,0,1,0
Mali,MLI,2010,10,0,1,0
Mali,MLI,2011,10,0,1,0
Mali,MLI,2012,11,0,1,0
Mali,MLI,2013,11,0,1,0
Mali,MLI,2014,12,0,1,0
Mali,MLI,2015,13,0,2,0
Mali,MLI,2016,14,0,2,0
Mali,MLI,2017,15,0,2,0
Mali,MLI,2018,16,0,2,0
Mali,MLI,2019,16,0,2,0
Malta,MLT,1990,2,0,0,0
Malta,MLT,1991,2,0,0,0
Malta,MLT,1992,2,0,1,0
Malta,MLT,1993,3,0,1,0
Malta,MLT,1994,3,0,1,0
Malta,MLT,1995,3,0,1,0
Malta,MLT,1996,3,0,1,0
Malta,MLT,1997,3,0,1,0
Malta,MLT,1998,3,0,1,0
Malta,MLT,1999,3,0,1,0
Malta,MLT,2000,4,0,1,0
Malta,MLT,2001,4,0,1,0
Malta,MLT,2002,4,0,1,0
Malta,MLT,2003,4,0,1,0
Malta,MLT,2004,4,0,1,0
Malta,MLT,2005,4,0,1,0
Malta,MLT,2006,4,0,1,0
Malta,MLT,2007,4,0,1,0
Malta,MLT,2008,5,0,1,0
Malta,MLT,2009,5,0,1,0
Malta,MLT,2010,5,0,1,0
Malta,MLT,2011,5,0,1,1
Malta,MLT,2012,5,0,1,1
Malta,MLT,2013,5,0,1,1
Malta,MLT,2014,5,0,1,1
Malta,MLT,2015,5,0,1,1
Malta,MLT,2016,5,0,2,1
Malta,MLT,2017,6,0,2,1
Malta,MLT,2018,6,0,2,1
Malta,MLT,2019,6,0,2,1
Marshall Islands,MHL,1990,0,0,0,0
Marshall Islands,MHL,1991,0,0,0,0
Marshall Islands,MHL,1992,0,0,0,0
Marshall Islands,MHL,1993,0,0,0,0
Marshall Islands,MHL,1994,0,0,0,0
Marshall Islands,MHL,1995,0,0,0,0
Marshall Islands,MHL,1996,0,0,0,0
Marshall Islands,MHL,1997,0,0,0,0
Marshall Islands,MHL,1998,0,0,0,0
Marshall Islands,MHL,1999,0,0,0,0
Marshall Islands,MHL,2000,0,0,0,0
Marshall Islands,MHL,2001,0,0,0,0
Marshall Islands,MHL,2002,0,0,0,0
Marshall Islands,MHL,2003,0,0,0,0
Marshall Islands,MHL,2004,0,0,0,0
Marshall Islands,MHL,2005,0,0,0,0
Marshall Islands,MHL,2006,0,0,0,0
Marshall Islands,MHL,2007,0,0,0,0
Marshall Islands,MHL,2008,0,0,0,0
Marshall Islands,MHL,2009,0,0,0,0
Marshall Islands,MHL,2010,0,0,0,0
Marshall Islands,MHL,2011,0,0,0,0
Marshall Islands,MHL,2012,0,0,0,0
Marshall Islands,MHL,2013,0,0,0,0
Marshall Islands,MHL,2014,0,0,0,0
Marshall Islands,MHL,2015,0,0,0,0
Marshall Islands,MHL,2016,0,0,0,0
Marshall Islands,MHL,2017,0,0,0,0
Marshall Islands,MHL,2018,0,0,0,0
Marshall Islands,MHL,2019,0,0,0,0
Mauritania,MRT,1990,3,0,1,0
Mauritania,MRT,1991,3,0,1,0
Mauritania,MRT,1992,3,0,1,0
Mauritania,MRT,1993,3,0,1,0
Mauritania,MRT,1994,3,0,1,0
Mauritania,MRT,1995,3,0,1,0
Mauritania,MRT,1996,3,0,1,0
Mauritania,MRT,1997,3,0,1,0
Mauritania,MRT,1998,3,0,1,0
Mauritania,MRT,1999,3,0,1,0
Mauritania,MRT,2000,3,0,1,0
Mauritania,MRT,2001,3,0,1,0
Mauritania,MRT,2002,3,0,0,0
Mauritania,MRT,2003,3,0,0,0
Mauritania,MRT,2004,3,0,0,0
Mauritania,MRT,2005,3,0,0,0
Mauritania,MRT,2006,3,0,1,0
Mauritania,MRT,2007,3,0,1,0
Mauritania,MRT,2008,3,0,1,0
Mauritania,MRT,2009,3,0,1,0
Mauritania,MRT,2010,3,0,1,0
Mauritania,MRT,2011,3,0,1,0
Mauritania,MRT,2012,3,0,1,0
Mauritania,MRT,2013,4,0,1,0
Mauritania,MRT,2014,4,0,1,0
Mauritania,MRT,2015,4,0,1,0
Mauritania,MRT,2016,4,0,1,0
Mauritania,MRT,2017,4,0,1,0
Mauritania,MRT,2018,4,0,1,0
Mauritania,MRT,2019,4,0,1,0
Mauritius,MUS,1990,1,0,0,0
Mauritius,MUS,1991,1,0,0,0
Mauritius,MUS,1992,1,0,0,0
Mauritius,MUS,1993,1,0,0,0
Mauritius,MUS,1994,1,0,0,0
Mauritius,MUS,1995,1,0,0,0
Mauritius,MUS,1996,1,0,0,0
Mauritius,MUS,1997,1,0,1,0
Mauritius,MUS,1998,1,0,1,0
Mauritius,MUS,1999,1,0,1,0
Mauritius,MUS,2000,2,0,2,0
Mauritius,MUS,2001,2,0,2,0
Mauritius,MUS,2002,2,0,2,0
Mauritius,MUS,2003,2,0,3,0
Mauritius,MUS,2004,3,0,3,0
Mauritius,MUS,2005,4,0,2,0
Mauritius,MUS,2006,4,1,2,0
Mauritius,MUS,2007,6,1,2,0
Mauritius,MUS,2008,7,1,3,1
Mauritius,MUS,2009,10,1,3,1
Mauritius,MUS,2010,10,2,3,1
Mauritius,MUS,2011,10,2,3,1
Mauritius,MUS,2012,10,2,3,1
Mauritius,MUS,2013,9,1,3,1
Mauritius,MUS,2014,12,2,3,1
Mauritius,MUS,2015,13,2,3,1
Mauritius,MUS,2016,13,2,3,1
Mauritius,MUS,2017,12,2,3,1
Mauritius,MUS,2018,10,2,3,1
Mauritius,MUS,2019,9,1,3,1
Mexico,MEX,1990,75,148,50,21
Mexico,MEX,1991,77,146,50,21
Mexico,MEX,1992,76,151,50,22
Mexico,MEX,1993,85,162,53,24
Mexico,MEX,1994,86,171,58,25
Mexico,MEX,1995,92,184,62,27
Mexico,MEX,1996,95,197,67,28
Mexico,MEX,1997,101,222,75,32
Mexico,MEX,1998,105,248,84,36
Mexico,MEX,1999,106,261,89,39
Mexico,MEX,2000,108,267,89,39
Mexico,MEX,2001,105,262,87,37
Mexico,MEX,2002,103,257,86,37
Mexico,MEX,2003,104,255,87,37
Mexico,MEX,2004,105,249,86,36
Mexico,MEX,2005,104,248,88,37
Mexico,MEX,2006,102,237,84,36
Mexico,MEX,2007,102,234,82,35
Mexico,MEX,2008,103,230,86,37
Mexico,MEX,2009,101,219,86,37
Mexico,MEX,2010,98,208,84,35
Mexico,MEX,2011,100,204,84,34
Mexico,MEX,2012,100,203,85,34
Mexico,MEX,2013,105,213,91,37
Mexico,MEX,2014,107,217,94,38
Mexico,MEX,2015,112,224,99,40
Mexico,MEX,2016,117,235,106,43
Mexico,MEX,2017,124,250,117,50
Mexico,MEX,2018,131,268,127,54
Mexico,MEX,2019,135,274,131,56
Micronesia (country),FSM,1990,0,0,0,0
Micronesia (country),FSM,1991,0,0,0,0
Micronesia (country),FSM,1992,0,0,0,0
Micronesia (country),FSM,1993,1,0,0,0
Micronesia (country),FSM,1994,1,0,0,0
Micronesia (country),FSM,1995,1,0,0,0
Micronesia (country),FSM,1996,1,0,0,0
Micronesia (country),FSM,1997,1,0,0,0
Micronesia (country),FSM,1998,1,0,0,0
Micronesia (country),FSM,1999,1,0,0,0
Micronesia (country),FSM,2000,1,0,0,0
Micronesia (country),FSM,2001,1,0,0,0
Micronesia (country),FSM,2002,1,0,0,0
Micronesia (country),FSM,2003,1,0,0,0
Micronesia (country),FSM,2004,1,0,0,0
Micronesia (country),FSM,2005,1,0,0,0
Micronesia (country),FSM,2006,1,0,0,0
Micronesia (country),FSM,2007,1,0,0,0
Micronesia (country),FSM,2008,1,0,0,0
Micronesia (country),FSM,2009,1,0,0,0
Micronesia (country),FSM,2010,1,0,0,0
Micronesia (country),FSM,2011,1,0,0,0
Micronesia (country),FSM,2012,1,0,0,0
Micronesia (country),FSM,2013,1,0,0,0
Micronesia (country),FSM,2014,1,0,0,0
Micronesia (country),FSM,2015,1,0,0,0
Micronesia (country),FSM,2016,1,0,0,0
Micronesia (country),FSM,2017,1,0,0,0
Micronesia (country),FSM,2018,1,0,0,0
Micronesia (country),FSM,2019,1,0,0,0
Middle East & North Africa,,1990,1335,95,330,61
Middle East & North Africa,,1991,1405,101,349,64
Middle East & North Africa,,1992,1492,108,372,69
Middle East & North Africa,,1993,1595,117,401,74
Middle East & North Africa,,1994,1703,127,429,80
Middle East & North Africa,,1995,1827,138,463,86
Middle East & North Africa,,1996,1981,152,506,95
Middle East & North Africa,,1997,2145,167,549,104
Middle East & North Africa,,1998,2324,184,595,114
Middle East & North Africa,,1999,2513,201,640,124
Middle East & North Africa,,2000,2736,222,704,136
Middle East & North Africa,,2001,2948,244,771,148
Middle East & North Africa,,2002,3158,267,826,159
Middle East & North Africa,,2003,3358,290,882,170
Middle East & North Africa,,2004,3571,318,946,184
Middle East & North Africa,,2005,3726,340,1004,195
Middle East & North Africa,,2006,3899,366,1061,208
Middle East & North Africa,,2007,4134,398,1134,224
Middle East & North Africa,,2008,4308,425,1187,236
Middle East & North Africa,,2009,4372,441,1209,242
Middle East & North Africa,,2010,4385,453,1219,247
Middle East & North Africa,,2011,4355,459,1222,249
Middle East & North Africa,,2012,4292,459,1216,248
Middle East & North Africa,,2013,4196,453,1202,244
Middle East & North Africa,,2014,4180,456,1217,245
Middle East & North Africa,,2015,4146,457,1232,246
Middle East & North Africa,,2016,4159,463,1262,250
Middle East & North Africa,,2017,4221,475,1307,258
Middle East & North Africa,,2018,4313,491,1363,268
Middle East & North Africa,,2019,4381,505,1412,277
Middle SDI,,1990,11405,799,4572,3484
Middle SDI,,1991,12529,852,5039,3916
Middle SDI,,1992,13280,901,5304,4181
Middle SDI,,1993,13775,941,5438,4310
Middle SDI,,1994,14522,1001,5766,4654
Middle SDI,,1995,15072,1052,5981,4860
Middle SDI,,1996,15291,1090,6047,4844
Middle SDI,,1997,15092,1124,5965,4652
Middle SDI,,1998,15296,1171,6026,4650
Middle SDI,,1999,15060,1185,5889,4450
Middle SDI,,2000,14902,1212,5853,4290
Middle SDI,,2001,13861,1188,5390,3766
Middle SDI,,2002,12581,1154,4787,3110
Middle SDI,,2003,11144,1124,4122,2445
Middle SDI,,2004,10290,1111,3753,2044
Middle SDI,,2005,9926,1126,3566,1797
Middle SDI,,2006,9517,1127,3396,1622
Middle SDI,,2007,9377,1145,3329,1521
Middle SDI,,2008,9338,1171,3311,1467
Middle SDI,,2009,9254,1205,3307,1439
Middle SDI,,2010,9170,1240,3324,1433
Middle SDI,,2011,9065,1268,3291,1409
Middle SDI,,2012,8839,1289,3232,1365
Middle SDI,,2013,8743,1322,3234,1351
Middle SDI,,2014,8705,1342,3276,1361
Middle SDI,,2015,8688,1370,3304,1367
Middle SDI,,2016,8787,1417,3390,1404
Middle SDI,,2017,9029,1475,3571,1493
Middle SDI,,2018,9551,1537,3838,1631
Middle SDI,,2019,9968,1590,4063,1749
Moldova,MDA,1990,30,3,3,2
Moldova,MDA,1991,29,2,3,2
Moldova,MDA,1992,25,2,2,2
Moldova,MDA,1993,26,2,2,1
Moldova,MDA,1994,28,2,3,2
Moldova,MDA,1995,29,2,3,2
Moldova,MDA,1996,32,2,3,2
Moldova,MDA,1997,32,2,3,2
Moldova,MDA,1998,32,1,3,2
Moldova,MDA,1999,33,1,3,2
Moldova,MDA,2000,34,1,3,2
Moldova,MDA,2001,34,1,3,1
Moldova,MDA,2002,32,1,3,1
Moldova,MDA,2003,30,1,3,1
Moldova,MDA,2004,29,1,3,1
Moldova,MDA,2005,30,1,4,1
Moldova,MDA,2006,29,1,4,1
Moldova,MDA,2007,27,1,4,1
Moldova,MDA,2008,27,1,4,1
Moldova,MDA,2009,24,1,4,1
Moldova,MDA,2010,27,1,4,1
Moldova,MDA,2011,23,1,3,1
Moldova,MDA,2012,22,1,3,1
Moldova,MDA,2013,23,1,3,1
Moldova,MDA,2014,23,1,3,1
Moldova,MDA,2015,23,1,4,1
Moldova,MDA,2016,22,1,3,1
Moldova,MDA,2017,20,1,3,1
Moldova,MDA,2018,21,1,3,1
Moldova,MDA,2019,22,1,4,1
Monaco,MCO,1990,0,0,0,0
Monaco,MCO,1991,0,0,0,0
Monaco,MCO,1992,0,0,0,0
Monaco,MCO,1993,0,0,0,0
Monaco,MCO,1994,0,0,0,0
Monaco,MCO,1995,0,0,0,0
Monaco,MCO,1996,0,0,0,0
Monaco,MCO,1997,0,0,0,0
Monaco,MCO,1998,0,0,0,0
Monaco,MCO,1999,0,0,0,0
Monaco,MCO,2000,0,0,0,0
Monaco,MCO,2001,0,0,0,0
Monaco,MCO,2002,0,0,0,0
Monaco,MCO,2003,0,0,0,0
Monaco,MCO,2004,0,0,0,0
Monaco,MCO,2005,0,0,0,0
Monaco,MCO,2006,0,0,0,0
Monaco,MCO,2007,0,0,0,0
Monaco,MCO,2008,0,0,0,0
Monaco,MCO,2009,0,0,0,0
Monaco,MCO,2010,0,0,0,0
Monaco,MCO,2011,0,0,0,0
Monaco,MCO,2012,0,0,0,0
Monaco,MCO,2013,0,0,0,0
Monaco,MCO,2014,0,0,0,0
Monaco,MCO,2015,0,0,0,0
Monaco,MCO,2016,0,0,0,0
Monaco,MCO,2017,0,0,0,0
Monaco,MCO,2018,0,0,0,0
Monaco,MCO,2019,0,0,0,0
Mongolia,MNG,1990,4,0,1,0
Mongolia,MNG,1991,4,0,1,0
Mongolia,MNG,1992,5,0,1,0
Mongolia,MNG,1993,5,0,1,0
Mongolia,MNG,1994,6,0,1,0
Mongolia,MNG,1995,6,1,1,0
Mongolia,MNG,1996,7,1,1,0
Mongolia,MNG,1997,7,1,1,0
Mongolia,MNG,1998,7,1,1,0
Mongolia,MNG,1999,8,1,1,0
Mongolia,MNG,2000,8,1,1,0
Mongolia,MNG,2001,8,1,1,1
Mongolia,MNG,2002,9,1,1,1
Mongolia,MNG,2003,9,1,2,1
Mongolia,MNG,2004,10,1,2,1
Mongolia,MNG,2005,10,1,2,1
Mongolia,MNG,2006,11,1,2,1
Mongolia,MNG,2007,11,1,2,1
Mongolia,MNG,2008,11,1,2,1
Mongolia,MNG,2009,12,1,2,1
Mongolia,MNG,2010,12,1,2,1
Mongolia,MNG,2011,12,2,2,1
Mongolia,MNG,2012,12,2,2,1
Mongolia,MNG,2013,12,2,2,1
Mongolia,MNG,2014,13,2,2,1
Mongolia,MNG,2015,13,2,2,1
Mongolia,MNG,2016,13,2,2,1
Mongolia,MNG,2017,13,2,2,1
Mongolia,MNG,2018,14,2,2,1
Mongolia,MNG,2019,14,2,2,1
Montenegro,MNE,1990,1,0,0,0
Montenegro,MNE,1991,1,0,0,0
Montenegro,MNE,1992,1,0,0,0
Montenegro,MNE,1993,1,0,0,0
Montenegro,MNE,1994,1,0,0,0
Montenegro,MNE,1995,1,0,0,0
Montenegro,MNE,1996,1,0,0,0
Montenegro,MNE,1997,1,0,0,0
Montenegro,MNE,1998,1,0,0,0
Montenegro,MNE,1999,1,0,0,0
Montenegro,MNE,2000,1,0,0,0
Montenegro,MNE,2001,1,0,0,0
Montenegro,MNE,2002,1,0,0,0
Montenegro,MNE,2003,1,0,0,0
Montenegro,MNE,2004,1,0,0,0
Montenegro,MNE,2005,1,0,0,0
Montenegro,MNE,2006,1,0,0,0
Montenegro,MNE,2007,1,0,0,0
Montenegro,MNE,2008,1,0,0,0
Montenegro,MNE,2009,1,0,0,0
Montenegro,MNE,2010,1,0,0,0
Montenegro,MNE,2011,1,0,0,0
Montenegro,MNE,2012,1,0,0,0
Montenegro,MNE,2013,1,0,0,0
Montenegro,MNE,2014,1,0,0,0
Montenegro,MNE,2015,1,0,0,0
Montenegro,MNE,2016,1,0,0,0
Montenegro,MNE,2017,1,0,0,0
Montenegro,MNE,2018,1,0,0,0
Montenegro,MNE,2019,1,0,0,0
Morocco,MAR,1990,89,5,20,3
Morocco,MAR,1991,95,5,22,3
Morocco,MAR,1992,104,6,24,4
Morocco,MAR,1993,113,6,26,4
Morocco,MAR,1994,119,6,27,4
Morocco,MAR,1995,126,7,29,4
Morocco,MAR,1996,133,7,31,5
Morocco,MAR,1997,141,7,33,5
Morocco,MAR,1998,147,8,34,5
Morocco,MAR,1999,157,8,37,5
Morocco,MAR,2000,162,9,38,6
Morocco,MAR,2001,170,9,40,6
Morocco,MAR,2002,175,9,42,6
Morocco,MAR,2003,181,10,44,6
Morocco,MAR,2004,186,10,46,6
Morocco,MAR,2005,191,11,47,6
Morocco,MAR,2006,196,11,49,7
Morocco,MAR,2007,205,12,52,7
Morocco,MAR,2008,214,13,54,7
Morocco,MAR,2009,222,13,56,8
Morocco,MAR,2010,230,14,59,8
Morocco,MAR,2011,238,15,61,9
Morocco,MAR,2012,246,16,63,9
Morocco,MAR,2013,245,16,66,9
Morocco,MAR,2014,253,17,68,10
Morocco,MAR,2015,260,18,71,10
Morocco,MAR,2016,268,18,73,10
Morocco,MAR,2017,276,19,77,11
Morocco,MAR,2018,284,20,80,11
Morocco,MAR,2019,291,21,83,12
Mozambique,MOZ,1990,14,1,4,0
Mozambique,MOZ,1991,14,1,4,0
Mozambique,MOZ,1992,15,1,5,0
Mozambique,MOZ,1993,16,1,5,0
Mozambique,MOZ,1994,17,1,5,0
Mozambique,MOZ,1995,18,1,6,0
Mozambique,MOZ,1996,18,1,6,0
Mozambique,MOZ,1997,19,1,6,0
Mozambique,MOZ,1998,20,1,7,0
Mozambique,MOZ,1999,22,1,7,0
Mozambique,MOZ,2000,23,1,8,0
Mozambique,MOZ,2001,24,1,8,0
Mozambique,MOZ,2002,25,1,8,1
Mozambique,MOZ,2003,27,1,8,1
Mozambique,MOZ,2004,29,2,9,1
Mozambique,MOZ,2005,32,2,9,1
Mozambique,MOZ,2006,35,2,10,1
Mozambique,MOZ,2007,40,2,11,1
Mozambique,MOZ,2008,46,3,13,1
Mozambique,MOZ,2009,53,3,15,1
Mozambique,MOZ,2010,59,4,17,2
Mozambique,MOZ,2011,64,4,19,2
Mozambique,MOZ,2012,69,5,20,2
Mozambique,MOZ,2013,74,5,22,2
Mozambique,MOZ,2014,78,6,23,2
Mozambique,MOZ,2015,82,6,24,3
Mozambique,MOZ,2016,86,6,25,3
Mozambique,MOZ,2017,90,7,26,3
Mozambique,MOZ,2018,93,7,27,3
Mozambique,MOZ,2019,96,7,28,3
Myanmar,MMR,1990,98,6,20,6
Myanmar,MMR,1991,101,6,21,7
Myanmar,MMR,1992,104,7,21,7
Myanmar,MMR,1993,107,7,22,7
Myanmar,MMR,1994,110,7,22,7
Myanmar,MMR,1995,113,7,23,7
Myanmar,MMR,1996,116,8,24,8
Myanmar,MMR,1997,119,8,25,8
Myanmar,MMR,1998,123,8,25,8
Myanmar,MMR,1999,126,9,26,9
Myanmar,MMR,2000,129,9,27,9
Myanmar,MMR,2001,129,10,27,9
Myanmar,MMR,2002,129,10,28,9
Myanmar,MMR,2003,129,10,28,9
Myanmar,MMR,2004,130,10,29,9
Myanmar,MMR,2005,130,11,29,9
Myanmar,MMR,2006,130,11,29,9
Myanmar,MMR,2007,131,11,30,9
Myanmar,MMR,2008,131,12,30,9
Myanmar,MMR,2009,134,12,30,9
Myanmar,MMR,2010,134,13,30,10
Myanmar,MMR,2011,135,13,31,10
Myanmar,MMR,2012,134,13,31,10
Myanmar,MMR,2013,137,14,31,10
Myanmar,MMR,2014,140,14,32,10
Myanmar,MMR,2015,141,15,33,11
Myanmar,MMR,2016,143,15,33,11
Myanmar,MMR,2017,146,16,34,11
Myanmar,MMR,2018,149,16,35,11
Myanmar,MMR,2019,150,17,36,12
Namibia,NAM,1990,2,0,1,0
Namibia,NAM,1991,2,0,1,0
Namibia,NAM,1992,2,0,1,0
Namibia,NAM,1993,2,0,1,0
Namibia,NAM,1994,2,0,1,0
Namibia,NAM,1995,2,0,1,0
Namibia,NAM,1996,2,0,1,0
Namibia,NAM,1997,3,0,2,0
Namibia,NAM,1998,3,0,2,0
Namibia,NAM,1999,3,0,2,0
Namibia,NAM,2000,3,0,2,0
Namibia,NAM,2001,3,0,2,0
Namibia,NAM,2002,3,0,2,0
Namibia,NAM,2003,3,0,2,0
Namibia,NAM,2004,3,0,2,0
Namibia,NAM,2005,3,0,2,0
Namibia,NAM,2006,3,0,2,0
Namibia,NAM,2007,3,0,1,0
Namibia,NAM,2008,3,0,1,0
Namibia,NAM,2009,3,0,1,0
Namibia,NAM,2010,3,0,1,0
Namibia,NAM,2011,3,0,1,0
Namibia,NAM,2012,3,0,1,0
Namibia,NAM,2013,3,0,1,0
Namibia,NAM,2014,3,0,1,0
Namibia,NAM,2015,3,0,1,0
Namibia,NAM,2016,3,0,2,0
Namibia,NAM,2017,3,0,2,0
Namibia,NAM,2018,3,0,2,0
Namibia,NAM,2019,3,0,2,0
Nauru,NRU,1990,0,0,0,0
Nauru,NRU,1991,0,0,0,0
Nauru,NRU,1992,0,0,0,0
Nauru,NRU,1993,0,0,0,0
Nauru,NRU,1994,0,0,0,0
Nauru,NRU,1995,0,0,0,0
Nauru,NRU,1996,0,0,0,0
Nauru,NRU,1997,0,0,0,0
Nauru,NRU,1998,0,0,0,0
Nauru,NRU,1999,0,0,0,0
Nauru,NRU,2000,0,0,0,0
Nauru,NRU,2001,0,0,0,0
Nauru,NRU,2002,0,0,0,0
Nauru,NRU,2003,0,0,0,0
Nauru,NRU,2004,0,0,0,0
Nauru,NRU,2005,0,0,0,0
Nauru,NRU,2006,0,0,0,0
Nauru,NRU,2007,0,0,0,0
Nauru,NRU,2008,0,0,0,0
Nauru,NRU,2009,0,0,0,0
Nauru,NRU,2010,0,0,0,0
Nauru,NRU,2011,0,0,0,0
Nauru,NRU,2012,0,0,0,0
Nauru,NRU,2013,0,0,0,0
Nauru,NRU,2014,0,0,0,0
Nauru,NRU,2015,0,0,0,0
Nauru,NRU,2016,0,0,0,0
Nauru,NRU,2017,0,0,0,0
Nauru,NRU,2018,0,0,0,0
Nauru,NRU,2019,0,0,0,0
Nepal,NPL,1990,12,0,2,0
Nepal,NPL,1991,12,0,2,0
Nepal,NPL,1992,12,0,2,0
Nepal,NPL,1993,12,0,2,0
Nepal,NPL,1994,13,0,2,0
Nepal,NPL,1995,13,0,2,0
Nepal,NPL,1996,13,0,2,0
Nepal,NPL,1997,13,1,2,0
Nepal,NPL,1998,13,1,2,0
Nepal,NPL,1999,13,1,2,0
Nepal,NPL,2000,14,1,2,0
Nepal,NPL,2001,14,1,2,0
Nepal,NPL,2002,14,1,2,0
Nepal,NPL,2003,14,1,2,0
Nepal,NPL,2004,15,1,2,0
Nepal,NPL,2005,16,1,3,0
Nepal,NPL,2006,17,1,3,0
Nepal,NPL,2007,17,1,3,0
Nepal,NPL,2008,18,1,3,1
Nepal,NPL,2009,19,1,3,1
Nepal,NPL,2010,20,1,4,1
Nepal,NPL,2011,21,1,4,1
Nepal,NPL,2012,22,1,4,1
Nepal,NPL,2013,23,1,4,1
Nepal,NPL,2014,24,1,5,1
Nepal,NPL,2015,25,1,5,1
Nepal,NPL,2016,26,1,5,1
Nepal,NPL,2017,27,1,5,1
Nepal,NPL,2018,28,1,6,1
Nepal,NPL,2019,28,1,6,1
Netherlands,NLD,1990,54,2,5,1
Netherlands,NLD,1991,57,2,7,1
Netherlands,NLD,1992,58,2,8,2
Netherlands,NLD,1993,60,2,9,2
Netherlands,NLD,1994,61,2,10,2
Netherlands,NLD,1995,61,2,12,2
Netherlands,NLD,1996,66,3,14,3
Netherlands,NLD,1997,69,4,16,4
Netherlands,NLD,1998,71,5,17,4
Netherlands,NLD,1999,76,7,19,5
Netherlands,NLD,2000,85,8,20,5
Netherlands,NLD,2001,88,9,21,6
Netherlands,NLD,2002,91,9,22,6
Netherlands,NLD,2003,95,8,23,6
Netherlands,NLD,2004,95,7,23,6
Netherlands,NLD,2005,92,7,22,6
Netherlands,NLD,2006,91,6,21,6
Netherlands,NLD,2007,92,6,21,6
Netherlands,NLD,2008,98,7,23,7
Netherlands,NLD,2009,101,7,23,7
